CityTown;Population;Latitude;Longitude
Chelyabinsk, 50-letiya VLKSM, 15a;32;55.241955;61.386644
Chelyabinsk, 50-letiya VLKSM, 15b;32;55.24177;61.387327
Chelyabinsk, 50-letiya VLKSM, 17;33;55.241396;61.384462
Chelyabinsk, 50-letiya VLKSM, 17a;148;55.241134;61.385351
Chelyabinsk, 50-letiya VLKSM, 17b;90;55.24081;61.386105
Chelyabinsk, 50-letiya VLKSM, 18a;57;55.242576;61.382288
Chelyabinsk, 50-letiya VLKSM, 18b;109;55.242668;61.381524
Chelyabinsk, 50-letiya VLKSM, 20;160;55.241775;61.382898
Chelyabinsk, 50-letiya VLKSM, 20b;32;55.242119;61.382638
Chelyabinsk, 50-letiya VLKSM, 21;111;55.240323;61.383482
Chelyabinsk, 50-letiya VLKSM, 22a;135;55.241267;61.38227
Chelyabinsk, 50-letiya VLKSM, 22b;72;55.241642;61.381982
Chelyabinsk, 50-letiya VLKSM, 27;32;55.239245;61.382422
Chelyabinsk, 50-letiya VLKSM, 3;32;55.246518;61.390094
Chelyabinsk, 50-letiya VLKSM, 31a;65;55.238336;61.382503
Chelyabinsk, 50-letiya VLKSM, 33;65;55.238028;61.381407
Chelyabinsk, 50-letiya VLKSM, 33a;54;55.237844;61.382162
Chelyabinsk, 50-letiya VLKSM, 35;145;55.237541;61.380976
Chelyabinsk, 50-letiya VLKSM, 37;67;55.23674;61.380105
Chelyabinsk, 50-letiya VLKSM, 37b;33;55.236191;61.381856
Chelyabinsk, 50-letiya VLKSM, 37v;32;55.236016;61.38244
Chelyabinsk, 50-letiya VLKSM, 39;108;55.236068;61.37988
Chelyabinsk, 50-letiya VLKSM, 4;389;55.246554;61.386878
Chelyabinsk, 50-letiya VLKSM, 41a;133;55.234158;61.3835
Chelyabinsk, 50-letiya VLKSM, 41b;34;55.233788;61.38456
Chelyabinsk, 50-letiya VLKSM, 43;63;55.234959;61.384039
Chelyabinsk, 50-letiya VLKSM, 43b;508;55.233922;61.385495
Chelyabinsk, 50-letiya VLKSM, 45;111;55.235292;61.384893
Chelyabinsk, 50-letiya VLKSM, 49;32;55.236155;61.38562
Chelyabinsk, 50-letiya VLKSM, 5;303;55.245368;61.3888
Chelyabinsk, 50-letiya VLKSM, 6;103;55.246846;61.388755
Chelyabinsk, 50-letiya VLKSM, 7;33;55.244593;61.388477
Chelyabinsk, 50-letiya VLKSM, 7 a;49;55.24504;61.390372
Chelyabinsk, 50-letiya VLKSM, 8;234;55.245994;61.387417
Chelyabinsk, 50-letiya VLKSM, 8a;30;55.245481;61.386806
Chelyabinsk, 5 Dekabrya, 32;61;55.184078;61.432216
Chelyabinsk, 60-letiya Oktyabrya, 14;57;55.264583;61.395466
Chelyabinsk, 60-letiya Oktyabrya, 16;76;55.264768;61.394253
Chelyabinsk, 60-letiya Oktyabrya, 18;76;55.264835;61.393301
Chelyabinsk, 60-letiya Oktyabrya, 18a;41;55.265373;61.393148
Chelyabinsk, 60-letiya Oktyabrya, 20;32;55.264691;61.392762
Chelyabinsk, 60-letiya Oktyabrya, 20a;31;55.265373;61.392385
Chelyabinsk, 60-letiya Oktyabrya, 22;76;55.264681;61.392007
Chelyabinsk, 60-letiya Oktyabrya, 28;74;55.265194;61.388432
Chelyabinsk, 60-letiya Oktyabrya, 3;72;55.264183;61.401422
Chelyabinsk, 60-letiya Oktyabrya, 30;88;55.264891;61.387803
Chelyabinsk, 60-letiya Oktyabrya, 32;76;55.264486;61.387345
Chelyabinsk, 60-letiya Oktyabrya, 32a;102;55.264625;61.386267
Chelyabinsk, 60-letiya Oktyabrya, 36;43;55.263532;61.387686
Chelyabinsk, 60-letiya Oktyabrya, 38;58;55.262988;61.386312
Chelyabinsk, 60-letiya Oktyabrya, 38a;57;55.264173;61.386285
Chelyabinsk, 60-letiya Oktyabrya, 38b;35;55.263542;61.386492
Chelyabinsk, 60-letiya Oktyabrya, 3a;89;55.26365;61.40091
Chelyabinsk, 60-letiya Oktyabrya, 42;43;55.262593;61.384947
Chelyabinsk, 60-letiya Oktyabrya, 44;64;55.262373;61.384408
Chelyabinsk, 60-letiya Oktyabrya, 50;44;55.261603;61.382171
Chelyabinsk, 60-letiya Oktyabrya, 52;136;55.261362;61.381623
Chelyabinsk, 60-letiya Oktyabrya, 56;68;55.261182;61.380437
Chelyabinsk, 60-letiya Oktyabrya, 7;164;55.264142;61.398376
Chelyabinsk, 60-letiya Oktyabrya, 8;87;55.265107;61.39958
Chelyabinsk, 8 Marta (Novosineglazovo), 12a;82;55.035178;61.376062
Chelyabinsk, 8 Marta (Novosineglazovo), 14;45;55.034724;61.376368
Chelyabinsk, 8 Marta (Novosineglazovo), 2;49;55.038119;61.374113
Chelyabinsk, 9 Maya, 14;86;55.140657;61.443993
Chelyabinsk, Abrazivnaya, 46;62;55.185189;61.435288
Chelyabinsk, Agalakova, 17;60;55.135989;61.435019
Chelyabinsk, Agalakova, 21;43;55.135572;61.437022
Chelyabinsk, Agalakova, 22;177;55.13601;61.431551
Chelyabinsk, Agalakova, 24;32;55.135227;61.433393
Chelyabinsk, Agalakova, 28a;58;55.134564;61.435315
Chelyabinsk, Agalakova, 29;55;55.134718;61.439726
Chelyabinsk, Agalakova, 30;471;55.134157;61.436294
Chelyabinsk, Agalakova, 32;57;55.133895;61.438864
Chelyabinsk, Agalakova, 33;34;55.134692;61.442861
Chelyabinsk, Agalakova, 34;56;55.134131;61.439394
Chelyabinsk, Agalakova, 35;154;55.135063;61.445188
Chelyabinsk, Agalakova, 36;62;55.133967;61.440085
Chelyabinsk, Agalakova, 36a;134;55.133153;61.439843
Chelyabinsk, Agalakova, 40;68;55.133514;61.441136
Chelyabinsk, Agalakova, 42;99;55.133853;61.441828
Chelyabinsk, Agalakova, 44;65;55.133102;61.442268
Chelyabinsk, Agalakova, 45;169;55.133009;61.449176
Chelyabinsk, Agalakova, 48;354;55.131836;61.445511
Chelyabinsk, Agalakova, 50;207;55.131954;61.448422
Chelyabinsk, Agalakova, 56;108;55.132217;61.451296
Chelyabinsk, Agalakova, 58;69;55.13197;61.451494
Chelyabinsk, Agalakova, 66;285;55.130544;61.452716
Chelyabinsk, Agalakova, 66a;156;55.129545;61.451377
Chelyabinsk, Agalakova, 68;52;55.13074;61.45453
Chelyabinsk, Akademika Koroleva, 1;465;55.162623;61.301547
Chelyabinsk, Akademika Koroleva, 11;188;55.162407;61.298124
Chelyabinsk, Akademika Koroleva, 14;583;55.164629;61.29905
Chelyabinsk, Akademika Koroleva, 20;315;55.16468;61.29808
Chelyabinsk, Akademika Koroleva, 21;260;55.161337;61.297226
Chelyabinsk, Akademika Koroleva, 23;253;55.161486;61.296732
Chelyabinsk, Akademika Koroleva, 26;143;55.164557;61.296912
Chelyabinsk, Akademika Koroleva, 27;186;55.162628;61.292815
Chelyabinsk, Akademika Koroleva, 31;190;55.162571;61.29136
Chelyabinsk, Akademika Koroleva, 31a;205;55.16161;61.291082
Chelyabinsk, Akademika Koroleva, 35;299;55.162114;61.290453
Chelyabinsk, Akademika Koroleva, 35 a;136;55.161497;61.289393
Chelyabinsk, Akademika Koroleva, 37;48;55.162613;61.289581
Chelyabinsk, Akademika Koroleva, 38;100;55.16413;61.292842
Chelyabinsk, Akademika Koroleva, 39a;282;55.162129;61.288297
Chelyabinsk, Akademika Koroleva, 39b;140;55.161857;61.288063
Chelyabinsk, Akademika Koroleva, 4;366;55.164233;61.301278
Chelyabinsk, Akademika Koroleva, 40;150;55.164546;61.291944
Chelyabinsk, Akademika Koroleva, 42;93;55.164222;61.291145
Chelyabinsk, Akademika Koroleva, 43;66;55.162628;61.28783
Chelyabinsk, Akademika Koroleva, 44;330;55.164125;61.289995
Chelyabinsk, Akademika Koroleva, 47;68;55.162541;61.286195
Chelyabinsk, Akademika Koroleva, 5;284;55.166871;61.300289
Chelyabinsk, Akademika Koroleva, 50;419;55.164222;61.288216
Chelyabinsk, Akademika Koroleva, 52;55;55.164161;61.28712
